setting,date,source,indicator_abbr,indicator_name,dimension,subgroup,estimate,se,ci_lb,ci_ub,population,flag,setting_average,iso3,favourable_indicator,indicator_scale,ordered_dimension,subgroup_order,reference_subgroup,whoreg6,wbincome2024,update,dataset_id
Afghanistan,2014,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,17.68752,NA,9.91472,27.59689,NA,NA,28.49185,AFG,0,100,0,0,1,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2015,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,39.64094,NA,25.70914,54.01635,NA,NA,29.06819,AFG,0,100,0,0,0,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2015,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,17.93737,NA,10.12354,27.70517,NA,NA,29.06819,AFG,0,100,0,0,1,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2016,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,40.55461,NA,26.55017,55.02948,NA,NA,29.66415,AFG,0,100,0,0,0,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2016,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,18.20391,NA,10.31272,27.94122,NA,NA,29.66415,AFG,0,100,0,0,1,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2017,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,41.47657,NA,27.23055,56.05805,NA,NA,30.27064,AFG,0,100,0,0,0,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2017,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,18.48244,NA,10.46205,28.59582,NA,NA,30.27064,AFG,0,100,0,0,1,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2018,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,42.39879,NA,27.78269,57.18575,NA,NA,30.88508,AFG,0,100,0,0,0,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2018,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,18.76988,NA,10.4315,29.32995,NA,NA,30.88508,AFG,0,100,0,0,1,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2019,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,43.31547,NA,28.08999,58.54594,NA,NA,31.4998,AFG,0,100,0,0,0,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2019,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,19.06756,NA,10.29807,30.00296,NA,NA,31.4998,AFG,0,100,0,0,1,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2020,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,44.22651,NA,28.30607,60.22971,NA,NA,32.11367,AFG,0,100,0,0,0,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2020,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,19.37503,NA,10.23576,30.93059,NA,NA,32.11367,AFG,0,100,0,0,1,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2021,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,45.13052,NA,28.40113,61.97671,NA,NA,32.73378,AFG,0,100,0,0,0,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2021,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,19.6927,NA,10.10932,32.03927,NA,NA,32.73378,AFG,0,100,0,0,1,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2022,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,46.02511,NA,28.50397,63.83203,NA,NA,33.35645,AFG,0,100,0,0,0,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2022,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,20.01947,NA,9.87484,33.07101,NA,NA,33.35645,AFG,0,100,0,0,1,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Albania,2000,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,24.39774,NA,5.07134,56.31656,NA,NA,20.314330000000002,ALB,0,100,0,0,0,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2000,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,16.00802,NA,3.93902,37.7093,NA,NA,20.314330000000002,ALB,0,100,0,0,1,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2001,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,24.34664,NA,5.26823,55.29907,NA,NA,20.34884,ALB,0,100,0,0,0,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2001,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,16.12169,NA,4.21997,37.32789,NA,NA,20.34884,ALB,0,100,0,0,1,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2002,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,24.31265,NA,5.53072,54.08696,NA,NA,20.39286,ALB,0,100,0,0,0,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2002,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,16.24446,NA,4.53194,36.7893,NA,NA,20.39286,ALB,0,100,0,0,1,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2003,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,24.29604,NA,5.88602,52.92793,NA,NA,20.44699,ALB,0,100,0,0,0,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2003,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,16.37656,NA,4.78192,36.25822,NA,NA,20.44699,ALB,0,100,0,0,1,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2004,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,24.2969,NA,6.12415,52.16288,NA,NA,20.51249,ALB,0,100,0,0,0,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2004,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,16.51911,NA,5.04904,35.90765,NA,NA,20.51249,ALB,0,100,0,0,1,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2005,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,24.31622,NA,6.46878,51.97865,NA,NA,20.59063,ALB,0,100,0,0,0,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2005,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,16.67255,NA,5.3255,35.76794,NA,NA,20.59063,ALB,0,100,0,0,1,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2006,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,24.35505,NA,6.65295,51.49834,NA,NA,20.68309,ALB,0,100,0,0,0,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2006,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,16.83839,NA,5.51149,35.7877,NA,NA,20.68309,ALB,0,100,0,0,1,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2007,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,24.41417,NA,6.94742,51.15406,NA,NA,20.79028,ALB,0,100,0,0,0,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2007,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,17.01652,NA,5.6821,35.65127,NA,NA,20.79028,ALB,0,100,0,0,1,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2008,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,24.4926,NA,7.06684,51.10546,NA,NA,20.91236,ALB,0,100,0,0,0,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2008,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,17.20655,NA,5.8864,36.14186,NA,NA,20.91236,ALB,0,100,0,0,1,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2009,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,24.58979,NA,7.27045,51.72886,NA,NA,21.04907,ALB,0,100,0,0,0,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2009,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,17.40689,NA,6.04608,36.42148,NA,NA,21.04907,ALB,0,100,0,0,1,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2010,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,24.70561,NA,7.37759,51.60222,NA,NA,21.20109,ALB,0,100,0,0,0,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2010,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,17.61841,NA,6.28155,36.72012,NA,NA,21.20109,ALB,0,100,0,0,1,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2011,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,24.83844,NA,7.34425,51.91769,NA,NA,21.36847,ALB,0,100,0,0,0,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2011,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,17.84104,NA,6.43818,37.01501,NA,NA,21.36847,ALB,0,100,0,0,1,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2012,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,24.98733,NA,7.35441,52.46832,NA,NA,21.55283,ALB,0,100,0,0,0,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2012,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,18.07823,NA,6.43211,37.60273,NA,NA,21.55283,ALB,0,100,0,0,1,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2013,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,25.15057,NA,7.13283,52.9722,NA,NA,21.75312,ALB,0,100,0,0,0,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2013,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,18.33069,NA,6.55785,38.43802,NA,NA,21.75312,ALB,0,100,0,0,1,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2014,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,25.32658,NA,7.05696,53.2041,NA,NA,21.97025,ALB,0,100,0,0,0,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2014,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,18.60255,NA,6.51552,39.3499,NA,NA,21.97025,ALB,0,100,0,0,1,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2015,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,25.5157,NA,6.95489,53.90675,NA,NA,22.2067,ALB,0,100,0,0,0,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2015,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,18.8971,NA,6.5031,40.28412,NA,NA,22.2067,ALB,0,100,0,0,1,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2016,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,25.71645,NA,6.68271,55.04905,NA,NA,22.46079,ALB,0,100,0,0,0,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2016,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,19.21254,NA,6.47502,41.45844,NA,NA,22.46079,ALB,0,100,0,0,1,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2017,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,25.92759,NA,6.46136,56.05852,NA,NA,22.72942,ALB,0,100,0,0,0,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2017,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,19.54457,NA,6.36039,42.47612,NA,NA,22.72942,ALB,0,100,0,0,1,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2018,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,26.14753,NA,6.19096,57.09639,NA,NA,23.01066,ALB,0,100,0,0,0,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2018,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,19.8905,NA,6.23018,43.40384,NA,NA,23.01066,ALB,0,100,0,0,1,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2019,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,26.37614,NA,5.89379,58.22011,NA,NA,23.30537,ALB,0,100,0,0,0,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2019,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,20.25133,NA,6.15899,44.28825,NA,NA,23.30537,ALB,0,100,0,0,1,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2020,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,26.61484,NA,5.57268,59.40455,NA,NA,23.61581,ALB,0,100,0,0,0,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2020,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,20.62948,NA,5.96182,45.71467,NA,NA,23.61581,ALB,0,100,0,0,1,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2021,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,26.86404,NA,5.38905,60.63377,NA,NA,23.941,ALB,0,100,0,0,0,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2021,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,21.02549,NA,5.80722,47.06855,NA,NA,23.941,ALB,0,100,0,0,1,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2022,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,27.1233,NA,5.11551,61.8979,NA,NA,24.27969,ALB,0,100,0,0,0,European,Upper middle income,20 September 2024,rep_gho_ncd
Albania,2022,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,21.43849,NA,5.63343,48.47079,NA,NA,24.27969,ALB,0,100,0,0,1,European,Upper middle income,20 September 2024,rep_gho_ncd
Algeria,2000,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,30.72955,NA,9.55898,57.90255,NA,NA,23.88835,DZA,0,100,0,0,0,African,Upper middle income,20 September 2024,rep_gho_ncd
Algeria,2000,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,17.0863,NA,5.22078,36.02363,NA,NA,23.88835,DZA,0,100,0,0,1,African,Upper middle income,20 September 2024,rep_gho_ncd
Algeria,2001,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,30.97935,NA,10.47435,56.73574,NA,NA,24.04701,DZA,0,100,0,0,0,African,Upper middle income,20 September 2024,rep_gho_ncd
Algeria,2001,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,17.1573,NA,5.65341,34.99966,NA,NA,24.04701,DZA,0,100,0,0,1,African,Upper middle income,20 September 2024,rep_gho_ncd
Algeria,2002,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,31.23665,NA,11.44508,56.04342,NA,NA,24.21347,DZA,0,100,0,0,0,African,Upper middle income,20 September 2024,rep_gho_ncd
Algeria,2002,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,17.23669,NA,6.10234,34.07148,NA,NA,24.21347,DZA,0,100,0,0,1,African,Upper middle income,20 September 2024,rep_gho_ncd
Algeria,2003,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,31.49946,NA,12.41366,55.16994,NA,NA,24.38483,DZA,0,100,0,0,0,African,Upper middle income,20 September 2024,rep_gho_ncd
Algeria,2003,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,17.32215,NA,6.57414,33.16948,NA,NA,24.38483,DZA,0,100,0,0,1,African,Upper middle income,20 September 2024,rep_gho_ncd
